ticker,company_name,sector,fetched_at
SHDT,Shadab Textile Mills Limited,TEXTILE SPINNING,2026-09-10
SHDTR1,Shadab Textile Mills Limited(Right),TEXTILE SPINNING,2026-09-10
SHEL,Shell Pakistan Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
SHEZ,Shezan International Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
SHFA,Shifa International Hospitals Limited,MISCELLANEOUS,2026-09-10
SHJS,Shahtaj Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SHNI,Shaheen Insurance Company Limited,INSURANCE,2026-09-10
SHSML,Shahmurad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SIBL,Security Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
SICL,Standard Insurance Company Limited,INSURANCE,2026-09-10
SIEM,Siemens (Pakistan) Engineering,CABLE & ELECTRICAL GOODS,2026-09-10
SILK,Silkbank Limited,COMMERCIAL BANKS,2026-09-10
SINDM,Sindh Modaraba,MODARABAS,2026-09-10
SING,Singer Pakistan ,CABLE & ELECTRICAL GOODS,2026-09-10
SITC,Sitara Chemical Industries Limited,CHEMICAL,2026-09-10
SJTM,Sajjad Textile Mills Limited,,2026-09-10
SKRS,Sakrand Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SLCL,Security Leasing Corporation Limited,LEASING COMPANIES,2026-09-10
SLGL,Secure Logistics-Trax Group Limited,TRANSPORT,2026-09-10
SLL,SME Leasing Limited,LEASING COMPANIES,2026-09-10
SLM,Service Long March Tyres Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
SLSO,Saleem Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SLSOPP,,SUGAR & ALLIED INDUSTRIES,2026-09-10
SLSOPVI,,SUGAR & ALLIED INDUSTRIES,2026-09-10
SLYT,Sally Textile Mills Limited,TEXTILE SPINNING,2026-09-10
SMBL,Summit Bank Limited,COMMERCIAL BANKS,2026-09-10
SMBLCPSA,Summit Bank,COMMERCIAL BANKS,2026-09-10
SMBLCPSB,Summit Bank B,COMMERCIAL BANKS,2026-09-10
SMCPL,Safe Mix Concrete Limited,CEMENT,2026-09-10
SML,Shakarganj Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
SMLR1,,SUGAR & ALLIED INDUSTRIES,2026-09-10
SMTM,Samin Textiles Limited,TEXTILE WEAVING,2026-09-10
SNAI,Sana Industries Limited,TEXTILE SPINNING,2026-09-10
SNBL,Soneri Bank Limited,COMMERCIAL BANKS,2026-09-10
SNGP,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
SPAC1,LSE SPAC-I Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
SPAC2,LSE SPAC-II Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-09-10
SPCL,Saudi Pak Consultancy Company Limited,LEASING COMPANIES,2026-09-10
SPEL,SPEL Limited,"PAPER, BOARD & PACKAGING",2026-09-10
SPL,Sitara Peroxide Limited,CHEMICAL,2026-09-10
SPLC,Saudi Pak Leasing Company Limited,LEASING COMPANIES,2026-09-10
SPLCTFC3,,LEASING COMPANIES,2026-09-10
SPSL,Sitara Petroleum Service Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
SPWL,Saif Power Limited,POWER GENERATION & DISTRIBUTION,2026-09-10
SRR,Signature Residency Reit,REAL ESTATE INVESTMENT TRUST,2026-09-10
SRSM,Sargodha Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
SRVI,Service Industries Limited,LEATHER & TANNERIES,2026-09-10
SSGC,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,2026-09-10
SSIC,Silver Star Insurance Company Limited,INSURANCE,2026-09-10
SSML,Saritow Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
SSOM,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,2026-09-10
STCL,Shabbir Tiles & Ceramics Limited,GLASS & CERAMICS,2026-09-10
STJT,Shahtaj Textile Limited,TEXTILE WEAVING,2026-09-10
STL,Supernet Technologies Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
STLR,Supernet Technologies Limited.(Right),TECHNOLOGY & COMMUNICATION,2026-09-10
STML,Shams Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
STPL,Siddiqsons Tin Plate Limited,MISCELLANEOUS,2026-09-10
STYLERS,Stylers International Limited,APPAREL,2026-09-10
SUCM,Sunshine Cotton Mills Limited,TEXTILE SPINNING,2026-09-10
SUHJ,Suhail Jute Mills Limited,JUTE,2026-09-10
SURAJ,Suraj Ghee Industries Limited,VANASPATI & ALLIED INDUSTRIES,2026-09-10
SURC,Suraj Cotton Mills Limited,TEXTILE COMPOSITE,2026-09-10
SUTM,Sunrays Textile Mills Limited,TEXTILE SPINNING,2026-09-10
SWL,Standard Worldwide Limited,INSURANCE,2026-09-10
SYM,Symmetry Group Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
SYS,Systems Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
SZTM,Shahzad Textile Mills Limited,TEXTILE SPINNING,2026-09-10
TAJT,Taj Textile Mills Limited,TEXTILE COMPOSITE,2026-09-10
TATM,Tata Textile Mills Limited,TEXTILE SPINNING,2026-09-10
TBL,Treet Battery Limited.,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
TCLTC,Treet Corporation (Ptc),FOOD & PERSONAL CARE PRODUCTS,2026-09-10
TCORP,Tariq Corporation Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
TCORPCPS,Tariq Corporation Limited(Pref),SUGAR & ALLIED INDUSTRIES,2026-09-10
TCORPR1,Tariq Corporation (Pvt) Ltd (R),,2026-09-10
TCORPR2,Tariq Corporation Limited(Right),SUGAR & ALLIED INDUSTRIES,2026-09-10
TDIL,TPL Direct Insurance Limited,INSURANCE,2026-09-10
TELE,Telecard Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
TGL,Tariq Glass Industries Limited,GLASS & CERAMICS,2026-09-10
THALL,Thal Limited,AUTOMOBILE PARTS & ACCESSORIES,2026-09-10
THAS,Taha Spinning Mills Limited,TEXTILE SPINNING,2026-09-10
THCCL,Thatta Cement Company Limited,CEMENT,2026-09-10
TICL,The Thal Industries Corporation Limited,SUGAR & ALLIED INDUSTRIES,2026-09-10
TISL,Tasdeeq Information Services Limited,MISCELLANEOUS,2026-09-10
TOMCL,The Organic Meat Company Limited,FOOD & PERSONAL CARE PRODUCTS,2026-09-10
TOWL,Towellers Limited,TEXTILE COMPOSITE,2026-09-10
TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION,2026-09-10
TPLI,TPL Insurance Limited,INSURANCE,2026-09-10
TPLL,TPL Life Insurance Limited,INSURANCE,2026-09-10
